protein,IHD,CM,ARR,VD,CHD,CCD,VOO,OTH
p57110,0.12697998278196154,0.11101079279847681,0.0,0.0,0.0,0.0,0.0,0.12503250822719486
q9qur8,0.1356935474573628,0.19936305578952757,0.0,0.0,0.0,0.0,0.0,0.048369176803266245
q78eg7,0.0,0.0,0.07678944451164005,0.0,0.0,0.0,0.0,0.0
q07731,0.0,0.18202867233203482,0.0,0.20211209664952282,0.13178057491031656,0.0,0.0,0.14510753040979874
p83953,0.0,0.0,0.0,0.0,0.08080088956727881,0.0,0.0,0.0
q9qxt8,0.2046060563201811,0.21627034881942706,0.11249450288019121,0.0,0.08080088956727881,0.0,0.0,0.09673835360653249
q04573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13578944657452396
q8c0l6,0.2971623379256923,0.3005034845435433,0.24850732647301152,0.2670609310225723,0.30113142391987113,0.10419741767478664,0.20275526243955305,0.3213578546986885
p97367,0.10502355337872746,0.0,0.0,0.16017004706581187,0.257161624951164,0.0,0.17368718977646397,0.0
o08912,0.0,0.07577665481904049,0.0,0.0,0.11837116366651684,0.0,0.0,0.0
q91ye3,0.10502355337872746,0.15882053894992343,0.0,0.0,0.10195937068607551,0.0,0.0,0.16067892734934425
a8wcf8,0.0,0.07577665481904049,0.0,0.0,0.0,0.0,0.0,0.048369176803266245
q8ce90,0.1886106386922854,0.17139614712193368,0.0,0.0,0.0,0.0,0.0,0.19770721284521867
o08832,0.12697998278196154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q8r121,0.12697998278196154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p54071,0.21004710675745492,0.2411712023343777,0.1535788890232801,0.0,0.0,0.14625956668750212,0.0,0.19770721284521867
p0c090,0.0716897281032489,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q921e6,0.233841821178073,0.2298384184834814,0.19803244612965365,0.20653142120553045,0.22391896014000376,0.12096945575690006,0.21406716184344654,0.23963039725519206
q62407,0.0,0.2711972156626899,0.0,0.0,0.0,0.0,0.0,0.2460763896484849
q9jkx3,0.20170536532547484,0.13421892618058823,0.0,0.0,0.0,0.0,0.0,0.07666333142392862
p49919,0.20738327556061173,0.15882053894992343,0.0,0.050528024162380704,0.13178057491031656,0.0,0.054792207922091676,0.09673835360653249
q62371,0.1169209105890365,0.13421892618058823,0.07678944451164005,0.050528024162380704,0.10195937068607551,0.05209870883739332,0.0,0.07666333142392862
q9wvt0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14510753040979874
q6t3u4,0.24983723880596873,0.0,0.0,0.050528024162380704,0.0,0.0,0.054792207922091676,0.0
o08759,0.04523118248578761,0.15882053894992343,0.07678944451164005,0.13061304769528662,0.08080088956727881,0.05209870883739332,0.0,0.19770721284521867
q3uhz5,0.0716897281032489,0.2610140398182304,0.0,0.050528024162380704,0.08080088956727881,0.0,0.0,0.24399319102460557
q8bue4,0.18092472994315045,0.1434292384543398,0.1360128235928203,0.11732243888177923,0.10195937068607551,0.0,0.08684359488823198,0.12503250822719486
q8bxq6,0.0,0.0,0.07678944451164005,0.0,0.0,0.08257449984325832,0.0,0.07666333142392862
q9ji46,0.04523118248578761,0.0,0.0,0.0,0.0,0.0,0.0,0.048369176803266245
o55137,0.0,0.13421892618058823,0.0,0.0,0.0,0.0,0.0,0.15332666284785723
q9r189,0.04523118248578761,0.047809746151446605,0.0,0.0,0.0,0.0,0.0,0.09673835360653249
q3u9g9,0.16737526416889623,0.13421892618058823,0.07678944451164005,0.0,0.050979685343037755,0.08257449984325832,0.0,0.048369176803266245
q60756,0.10502355337872746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q07257,0.12697998278196154,0.11101079279847681,0.048448745302618154,0.050528024162380704,0.21258146447759535,0.05209870883739332,0.0,0.13578944657452396
q9qye5,0.0,0.047809746151446605,0.0,0.0,0.0,0.0,0.0,0.0
q63313,0.24693654781126242,0.24717280194097416,0.2329103141980566,0.17479824441460914,0.14311807057272494,0.21724770852390993,0.10958441584418335,0.22998999427178582
p97953,0.1356935474573628,0.09561949230289321,0.0,0.0,0.10195937068607551,0.0,0.0,0.048369176803266245
p33671,0.0716897281032489,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q9jk42,0.09046236497157523,0.09561949230289321,0.0,0.0,0.0,0.0,0.0,0.0
q9esd7,0.21744234775353677,0.29303946513051166,0.0,0.0,0.0,0.0,0.0,0.14510753040979874
q9jmd1,0.04523118248578761,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q8ciq7,0.18488077767647002,0.31967989284614357,0.23773269269444944,0.16017004706581187,0.1886472524617122,0.0,0.12722356695521456,0.1841586233777902
q9epl2,0.1169209105890365,0.20663028510137002,0.07678944451164005,0.0,0.0,0.05209870883739332,0.0,0.21245277799845258
p97481,0.17221116526774916,0.2192058932733803,0.0,0.0,0.050979685343037755,0.0,0.0,0.12503250822719486
q9cwr8,0.0,0.0,0.0,0.0,0.08080088956727881,0.0,0.0,0.09673835360653249
q62897,0.0,0.13421892618058823,0.2861814379970676,0.0,0.19917205323379567,0.2650502452873592,0.0,0.22461950109215598
q8cg64,0.0,0.2738504229083452,0.048448745302618154,0.050528024162380704,0.0,0.0,0.0,0.22177086183372735
o54714,0.10502355337872746,0.11101079279847681,0.11249450288019121,0.0,0.0,0.0,0.0,0.0
q9wv08,0.352550646421,0.37802643222330373,0.21605386668580065,0.26322338553129504,0.257161624951164,0.08257449984325832,0.21406716184344654,0.3385842376228637
q61762,0.04523118248578761,0.047809746151446605,0.2748218906412937,0.0,0.11837116366651684,0.10419741767478664,0.0,0.07666333142392862
p56403,0.19548591835030268,0.16539454751533722,0.048448745302618154,0.0,0.08080088956727881,0.05209870883739332,0.0,0.16732985960067698
q3ula2,0.21004710675745492,0.11101079279847681,0.24439456589482253,0.050528024162380704,0.3885698034242145,0.1730681645942934,0.0,0.21569903640394322
q62426,0.0,0.09561949230289321,0.0,0.0,0.0,0.0,0.0,0.0
q9er35,0.0,0.0,0.0,0.11732243888177923,0.0,0.0,0.12722356695521456,0.0
q6zqm0,0.0,0.0,0.048448745302618154,0.0,0.0,0.0,0.0,0.048369176803266245
p35280,0.1356935474573628,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q4u4s6,0.04523118248578761,0.15155330963808097,0.1252381898142582,0.0,0.050979685343037755,0.08257449984325832,0.0,0.21880096803305055
o54912,0.46227979721377166,0.44653585773050175,0.4612144321875711,0.45125251198025307,0.48223884744211176,0.3943797032795429,0.2605307846646959,0.43296627299461216
o54724,0.09046236497157523,0.12358640097048708,0.18928394739183127,0.08008502353290593,0.15293905602911326,0.16514899968651664,0.0,0.21880096803305055
q9epk8,0.22408415738552442,0.2578053271510753,0.07678944451164005,0.11732243888177923,0.0,0.0,0.12722356695521456,0.16067892734934425
q02765,0.26607890126443556,0.19123898460578642,0.11249450288019121,0.1923781214964857,0.08080088956727881,0.12096945575690006,0.14163580281032365,0.1889730819700066
q6pcn7,0.0,0.0,0.048448745302618154,0.0,0.10195937068607551,0.05209870883739332,0.0,0.0
q9wvs8,0.2790730036638606,0.29961347369592545,0.0,0.11732243888177923,0.10195937068607551,0.0,0.0,0.3057864577591429
q9z0g2,0.04523118248578761,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q6xux1,0.0,0.0,0.0,0.0,0.050979685343037755,0.0,0.0,0.0
q8k4z2,0.41710328989051726,0.4302877153630194,0.38480486233153105,0.3607474232425641,0.3175432169003125,0.3610824665781394,0.289598857327785,0.40120397751917974
q7ts63,0.04523118248578761,0.0,0.0,0.0,0.050979685343037755,0.0,0.0,0.0
q9et54,0.17671328148197635,0.047809746151446605,0.048448745302618154,0.0,0.050979685343037755,0.05209870883739332,0.0,0.0
q99mp8,0.22408415738552442,0.21627034881942706,0.0,0.0,0.19917205323379567,0.0,0.0,0.048369176803266245
p70122,0.0,0.0,0.09689749060523631,0.0,0.13178057491031656,0.10419741767478664,0.0,0.11230975054607799
q8r0x7,0.18092472994315045,0.24522971897906504,0.09689749060523631,0.141850097334105,0.050979685343037755,0.0,0.12722356695521456,0.16732985960067698
p56223,0.0,0.0,0.0,0.0,0.050979685343037755,0.0,0.0,0.0
p48437,0.09046236497157523,0.15155330963808097,0.0,0.0,0.1886472524617122,0.0,0.0,0.13578944657452396
p09605,0.0,0.07577665481904049,0.0,0.0,0.0,0.0,0.0,0.0
p70377,0.0,0.0,0.1360128235928203,0.0,0.08080088956727881,0.0,0.0,0.048369176803266245
q8vgc3,0.04523118248578761,0.15882053894992343,0.20939199348542753,0.11732243888177923,0.0,0.18023192064225685,0.0,0.16067892734934425
p10687,0.1169209105890365,0.09561949230289321,0.0,0.0,0.050979685343037755,0.0,0.0,0.0
q8hwb0,0.15647418283968723,0.0,0.14534623590785445,0.13061304769528662,0.10195937068607551,0.08257449984325832,0.054792207922091676,0.048369176803266245
p97412,0.34574065421481776,0.32421508646526065,0.2560711059235499,0.19740746241468515,0.2424026687018364,0.21295153644996587,0.17368718977646397,0.3254239739850788
q8c4u3,0.1886106386922854,0.19936305578952757,0.0,0.0,0.0,0.0,0.0,0.09673835360653249
q9wuu8,0.10502355337872746,0.047809746151446605,0.0,0.0,0.0,0.0,0.0,0.1734016850304611
q9cr75,0.24232841239797778,0.2298384184834814,0.1360128235928203,0.08008502353290593,0.0,0.0,0.0,0.25197697089047705
p62482,0.0,0.0,0.1360128235928203,0.0,0.0,0.10419741767478664,0.0,0.0
q9epk5,0.21973222490310332,0.3633499037580857,0.07678944451164005,0.11732243888177923,0.392918743379272,0.08257449984325832,0.0,0.31850921544025984
q8chp8,0.21973222490310332,0.18202867233203482,0.1252381898142582,0.0,0.050979685343037755,0.12096945575690006,0.0,0.13578944657452396
q3uh93,0.04523118248578761,0.0,0.0,0.0,0.17636073538388522,0.0,0.0,0.0
q62994,0.04523118248578761,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o08532,0.0,0.047809746151446605,0.1609432481828094,0.0,0.0,0.13467320868065163,0.0,0.14510753040979874
q8vcx5,0.0716897281032489,0.09561949230289321,0.0,0.0,0.0,0.0,0.0,0.0
a6h584,0.10502355337872746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q149b8,0.0,0.17139614712193368,0.0,0.0,0.0,0.0,0.0,0.0
p97523,0.5625977531784548,0.5498523307895429,0.5357458245344191,0.49323189653527183,0.5403328168196354,0.4854251668823918,0.4616936504462302,0.5542832740268069
q63083,0.19866971088521043,0.24522971897906504,0.09689749060523631,0.0,0.0,0.10419741767478664,0.0,0.1841586233777902
o35381,0.0,0.19936305578952757,0.0,0.0,0.0,0.0,0.0,0.048369176803266245
q9wvi9,0.1169209105890365,0.0,0.0,0.0,0.08080088956727881,0.0,0.0,0.13578944657452396
q8vid6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1734016850304611
o08774,0.0,0.15882053894992343,0.0,0.0,0.0,0.0,0.0,0.16067892734934425
q62845,0.0,0.0,0.0,0.0,0.08080088956727881,0.0,0.0,0.0
q99lh2,0.0,0.047809746151446605,0.0,0.08008502353290593,0.050979685343037755,0.0,0.08684359488823198,0.0
q8c767,0.0716897281032489,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q01341,0.0716897281032489,0.12358640097048708,0.0,0.0,0.0,0.0,0.0,0.12503250822719486
o08709,0.1921387845469648,0.19542056084364942,0.0,0.0,0.0,0.0,0.0,0.1889730819700066
q61851,0.1169209105890365,0.047809746151446605,0.0,0.0,0.15293905602911326,0.0,0.0,0.048369176803266245
o88703,0.1886106386922854,0.2030923360874836,0.34590230504733216,0.1515840724871421,0.15293905602911326,0.33392099220686594,0.12722356695521456,0.2671701448363168
q6pdy2,0.3967448408671459,0.37859884118212106,0.36374323030734834,0.2651674082017,0.4529900051666141,0.31932773128179553,0.18201577487730627,0.23497654166023285
p39429,0.2603003667955343,0.25614320133396445,0.048448745302618154,0.050528024162380704,0.0,0.0,0.0,0.20169583965112345
q62956,0.24840300958522524,0.2857722358186692,0.048448745302618154,0.16017004706581187,0.18276026025335432,0.0,0.19642801073241534,0.21245277799845258
p62494,0.04523118248578761,0.0,0.09689749060523631,0.0,0.08080088956727881,0.08257449984325832,0.0,0.0
q9jli3,0.34204916709170824,0.3210063737981055,0.2895917126161004,0.28219712018242876,0.30471984970728255,0.26280642048551517,0.20861338252257938,0.35879541979306917
q61079,0.04523118248578761,0.0,0.0,0.050528024162380704,0.0,0.0,0.054792207922091676,0.0
p25095,0.3224659011322642,0.28792787637153305,0.20580675816281233,0.22856664781567487,0.15293905602911326,0.10419741767478664,0.12722356695521456,0.35714369838571336
q9jmc1,0.0,0.0,0.07678944451164005,0.0,0.0,0.08257449984325832,0.0,0.0
p25446,0.46589712632415536,0.48489156385043003,0.3266156169901579,0.2851729019259392,0.3058781120582265,0.1730681645942934,0.14163580281032365,0.41524756904679233
q02858,0.3434158097681749,0.27640534031381403,0.09689749060523631,0.1923781214964857,0.257161624951164,0.0,0.17368718977646397,0.30220711055174443
o54898,0.0,0.0,0.11249450288019121,0.0,0.050979685343037755,0.05209870883739332,0.0,0.09673835360653249
o54769,0.0,0.0,0.0,0.0,0.10195937068607551,0.0,0.0,0.16732985960067698
q9d0p7,0.19548591835030268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p55194,0.0,0.0,0.048448745302618154,0.0,0.0,0.0,0.0,0.0
q60972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048369176803266245
o35264,0.12697998278196154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q8cii9,0.15647418283968723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d3z4i3,0.0,0.16539454751533722,0.0,0.0,0.13178057491031656,0.0,0.0,0.1889730819700066
q61624,0.0,0.047809746151446605,0.0,0.0,0.0,0.0,0.0,0.0
o35437,0.29506842129175637,0.15882053894992343,0.11249450288019121,0.1515840724871421,0.1940977559157627,0.05209870883739332,0.10958441584418335,0.16067892734934425
p13011,0.10502355337872746,0.047809746151446605,0.0,0.0,0.0,0.0,0.0,0.0
q9qxs1,0.0,0.22202158559695362,0.21280226810446035,0.050528024162380704,0.2501517385768334,0.0,0.0,0.0
o89029,0.04523118248578761,0.047809746151446605,0.0,0.0,0.0,0.0,0.0,0.0
q9qus6,0.0,0.0,0.09689749060523631,0.0,0.0,0.10419741767478664,0.0,0.0
o70337,0.1169209105890365,0.047809746151446605,0.0,0.0,0.0,0.0,0.0,0.0
q2tv84,0.0716897281032489,0.07577665481904049,0.048448745302618154,0.0,0.0,0.0,0.0,0.0
q9wul8,0.0716897281032489,0.047809746151446605,0.0,0.0,0.0,0.0,0.0,0.07666333142392862
p09535,0.30905969513600134,0.2738504229083452,0.14534623590785445,0.22532626857698987,0.3356993162824676,0.12096945575690006,0.18201577487730627,0.33580371156799416
p97438,0.0,0.047809746151446605,0.0,0.0,0.0,0.0,0.0,0.048369176803266245
o08580,0.04523118248578761,0.11101079279847681,0.0,0.0,0.0,0.0,0.0,0.07666333142392862
q9r1v4,0.2851274573711933,0.3235851744737849,0.048448745302618154,0.13061304769528662,0.15293905602911326,0.0,0.0,0.2500650164543897
o88271,0.12697998278196154,0.0,0.0,0.11732243888177923,0.0,0.0,0.0,0.0
q05962,0.2649634073888909,0.3141031288859604,0.07678944451164005,0.18114107185766734,0.11837116366651684,0.0,0.0,0.22461950109215598
q91ye9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09673835360653249
p42859,0.5201290912501513,0.4951919320911975,0.4999204524814492,0.4169908783748902,0.43311601599077354,0.4356464739824863,0.3877543516199105,0.5384387574763567
q9z0j7,0.2565705057797189,0.29204700363846753,0.1252381898142582,0.1923781214964857,0.20391874137215102,0.0,0.19642801073241534,0.2591403801440656
o08850,0.17671328148197635,0.07577665481904049,0.2329103141980566,0.050528024162380704,0.0,0.25045698436228875,0.054792207922091676,0.1734016850304611
q9d6k5,0.0,0.047809746151446605,0.0,0.0,0.08080088956727881,0.0,0.0,0.048369176803266245
q8ciw6,0.0,0.0,0.07678944451164005,0.0,0.0,0.0,0.0,0.048369176803266245
o88839,0.0716897281032489,0.11101079279847681,0.09689749060523631,0.0,0.050979685343037755,0.0,0.0,0.11230975054607799
q9d8y7,0.04523118248578761,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p25023,0.12697998278196154,0.047809746151446605,0.048448745302618154,0.0,0.0,0.0,0.0,0.16732985960067698
q62401,0.0716897281032489,0.047809746151446605,0.0,0.0,0.0,0.0,0.0,0.048369176803266245
q9jhl0,0.45121939989138843,0.3615488906377097,0.37856789478366254,0.3501964636554916,0.3623903400598395,0.3312202508071838,0.3060124265765987,0.38038421004457956
q62151,0.43404701002841356,0.42045879012045295,0.30270424876804863,0.31375140969367576,0.1940977559157627,0.05209870883739332,0.32097171268869146,0.3443373193985972
p84104,0.04523118248578761,0.09561949230289321,0.0,0.050528024162380704,0.0,0.0,0.0,0.16732985960067698
q8r0i0,0.3667581493950052,0.4412274788703339,0.32854836956599187,0.2724631450293917,0.21258146447759535,0.20354395560015837,0.2284793976985556,0.4294981321398421
q9z2y3,0.1169209105890365,0.047809746151446605,0.0,0.0,0.0,0.0,0.0,0.0
q80w57,0.24693654781126242,0.24717280194097416,0.19379498121047262,0.050528024162380704,0.16160177913455762,0.0,0.054792207922091676,0.1734016850304611
q5d1e7,0.232003536160689,0.24906264299851924,0.1360128235928203,0.0,0.0,0.0,0.0,0.20169583965112345
q8bgi7,0.0,0.09561949230289321,0.0,0.0,0.0,0.0,0.0,0.0
q9d020,0.0716897281032489,0.0,0.11249450288019121,0.0,0.0,0.0,0.0,0.0
p14270,0.21973222490310332,0.2298384184834814,0.20939199348542753,0.050528024162380704,0.0,0.05209870883739332,0.054792207922091676,0.20169583965112345
o08961,0.0,0.0,0.0,0.0,0.050979685343037755,0.0,0.0,0.0
o08590,0.1356935474573628,0.1434292384543398,0.0,0.13061304769528662,0.08080088956727881,0.0,0.12722356695521456,0.048369176803266245
q8vct4,0.22615591242893807,0.1434292384543398,0.17368693511687636,0.0,0.0,0.0,0.0,0.07666333142392862
q00954,0.09046236497157523,0.09561949230289321,0.3105269490098449,0.0,0.18276026025335432,0.3038860385285079,0.0,0.21880096803305055
q70iv5,0.0,0.18202867233203482,0.17368693511687636,0.16785046304415996,0.2424026687018364,0.13467320868065163,0.0,0.20169583965112345
p38533,0.04523118248578761,0.12358640097048708,0.0,0.0,0.0,0.0,0.0,0.14510753040979874
o35732,0.21260644665468384,0.19542056084364942,0.23036833353492012,0.0,0.050979685343037755,0.2356717372565237,0.0,0.22461950109215598
q62866,0.10502355337872746,0.0,0.0,0.08008502353290593,0.17636073538388522,0.0,0.08684359488823198,0.0
q4u2r1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07666333142392862
p11505,0.1356935474573628,0.07577665481904049,0.0,0.0,0.0,0.0,0.0,0.0
q8bqs5,0.2590806153444236,0.2298384184834814,0.0,0.050528024162380704,0.0,0.0,0.0,0.16732985960067698
p15205,0.09046236497157523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p53368,0.15025473586451507,0.1434292384543398,0.0,0.0,0.050979685343037755,0.0,0.0,0.0
o35923,0.1169209105890365,0.22202158559695362,0.0,0.141850097334105,0.0,0.0,0.0,0.0
q9wtq6,0.15647418283968723,0.12358640097048708,0.0,0.0,0.0,0.0,0.0,0.0
q91wp6,0.0,0.047809746151446605,0.0,0.0,0.0,0.0,0.0,0.048369176803266245
q03173,0.16215209307482412,0.2655634829743631,0.1252381898142582,0.050528024162380704,0.0,0.0,0.0,0.24399319102460557
q64fw2,0.04523118248578761,0.047809746151446605,0.0,0.0,0.0,0.0,0.0,0.0
q9jj25,0.2671756464535516,0.21627034881942706,0.11249450288019121,0.141850097334105,0.11837116366651684,0.0,0.0,0.19347670721306498
q62261,0.0,0.1434292384543398,0.1360128235928203,0.13061304769528662,0.21655800799538677,0.12096945575690006,0.054792207922091676,0.23252780018105645
q05921,0.0,0.0,0.0,0.0,0.050979685343037755,0.0,0.0,0.0
q9jhz9,0.0,0.0,0.0,0.0,0.050979685343037755,0.0,0.0,0.0
q9jj69,0.21744234775353677,0.3088237859696771,0.31830126104300355,0.13061304769528662,0.18276026025335432,0.26722902244440216,0.14163580281032365,0.29939671846966703
p61237,0.09046236497157523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q9jjg9,0.04523118248578761,0.047809746151446605,0.0,0.0,0.0,0.0,0.0,0.0
p97583,0.1433794562064978,0.12358640097048708,0.0,0.0,0.0,0.0,0.0,0.11230975054607799
p47856,0.0,0.047809746151446605,0.0,0.0,0.0,0.0,0.0,0.0
q78kk3,0.0,0.0,0.09689749060523631,0.10105604832476141,0.0,0.0,0.0,0.09673835360653249
q8cib5,0.0,0.17691708357305624,0.0,0.0,0.16160177913455762,0.0,0.0,0.22998999427178582
q9r194,0.04523118248578761,0.0,0.07678944451164005,0.0,0.0,0.0,0.0,0.048369176803266245
q8k400,0.1169209105890365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p37200,0.3879672485797403,0.3898797837050009,0.4036224699650579,0.3911610309411497,0.5500470302187082,0.38051754661143766,0.2854374519699817,0.383888643695126
q9jk66,0.15025473586451507,0.15155330963808097,0.0,0.0,0.0,0.0,0.0,0.13578944657452396
p47968,0.22615591242893807,0.16539454751533722,0.21280226810446035,0.050528024162380704,0.10195937068607551,0.14625956668750212,0.0,0.21880096803305055
o35565,0.0,0.0,0.0,0.0,0.2548984267151888,0.0,0.15382117460048772,0.0
q8cgk3,0.15025473586451507,0.17691708357305624,0.0,0.0,0.0,0.0,0.0,0.0
q60803,0.1169209105890365,0.19542056084364942,0.0,0.0,0.0,0.0,0.0,0.23497654166023285
q9wu70,0.1169209105890365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q8c6b2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048369176803266245
p24604,0.31294836567937445,0.13421892618058823,0.29284331119744067,0.11732243888177923,0.19917205323379567,0.0,0.054792207922091676,0.1841586233777902
q60848,0.17221116526774916,0.07577665481904049,0.0,0.0,0.0,0.0,0.0,0.07666333142392862
o88942,0.09046236497157523,0.2411712023343777,0.09689749060523631,0.25032575087640535,0.2766292697827289,0.05209870883739332,0.20861338252257938,0.24809919712060197
q8r4u0,0.17671328148197635,0.11101079279847681,0.0,0.08008502353290593,0.10195937068607551,0.0,0.054792207922091676,0.07666333142392862
q64143,0.12697998278196154,0.07577665481904049,0.0,0.0,0.0,0.0,0.0,0.0
q8k3l6,0.0716897281032489,0.047809746151446605,0.048448745302618154,0.0,0.0,0.0,0.0,0.048369176803266245
q6qzq4,0.0,0.15882053894992343,0.0,0.08008502353290593,0.0,0.0,0.0,0.0
q62696,0.0716897281032489,0.13421892618058823,0.14534623590785445,0.0,0.11837116366651684,0.08257449984325832,0.0,0.12503250822719486
p60521,0.0,0.0,0.048448745302618154,0.0,0.0,0.0,0.0,0.0
p42703,0.1356935474573628,0.16539454751533722,0.0,0.0,0.0,0.0,0.0,0.15332666284785723
q63704,0.1356935474573628,0.17139614712193368,0.048448745302618154,0.08008502353290593,0.050979685343037755,0.0,0.0,0.21569903640394322
q3umr5,0.28260114951854004,0.3005034845435433,0.09689749060523631,0.0,0.14311807057272494,0.10419741767478664,0.0,0.15332666284785723
q99p21,0.1433794562064978,0.2610140398182304,0.09689749060523631,0.16017004706581187,0.0,0.0,0.0,0.21245277799845258
p67779,0.2539599655639231,0.23685886798402989,0.1360128235928203,0.10105604832476141,0.08080088956727881,0.05209870883739332,0.10958441584418335,0.2783591710750521
q9jkx4,0.16737526416889623,0.1867874476175173,0.0,0.0,0.0,0.0,0.0,0.13578944657452396
q924d0,0.0,0.1434292384543398,0.0,0.0,0.0,0.0,0.0,0.0
q920b9,0.0,0.0,0.0,0.0,0.050979685343037755,0.0,0.0,0.0
p0c6c0,0.19548591835030268,0.1867874476175173,0.17368693511687636,0.10105604832476141,0.14311807057272494,0.05209870883739332,0.08684359488823198,0.13578944657452396
o55143,0.04523118248578761,0.22732996445712145,0.1535788890232801,0.050528024162380704,0.10195937068607551,0.08257449984325832,0.0,0.22998999427178582
q61127,0.04523118248578761,0.047809746151446605,0.0,0.0,0.0,0.0,0.0,0.048369176803266245
q61468,0.31661827740051324,0.2868584769086796,0.3516113351529337,0.318517585958243,0.33870169801910927,0.19278813144575857,0.22396111387161222,0.2640682132072094
q61107,0.0,0.047809746151446605,0.0,0.050528024162380704,0.0,0.0,0.0,0.0
p32240,0.0,0.0,0.0,0.0,0.050979685343037755,0.0,0.0,0.0
q9d074,0.0,0.0,0.0,0.0,0.17636073538388522,0.0,0.0,0.0
q99m63,0.0,0.0,0.09689749060523631,0.0,0.0,0.0,0.0,0.0
q9d2n4,0.25527828924324253,0.22732996445712145,0.1252381898142582,0.050528024162380704,0.17636073538388522,0.0,0.0,0.20169583965112345
q925i7,0.17671328148197635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o54784,0.09046236497157523,0.07577665481904049,0.0,0.0,0.0,0.0,0.0,0.11230975054607799
q8bsm5,0.0,0.0,0.0,0.0,0.050979685343037755,0.0,0.0,0.0
